,ID_x,Neighborhood,FID,NAME_x,ST_ABBREV_x,OBJECTID,Mean_am_T_,Mean_am_HI,Mean_p2_T_,Mean_p2_HI,Mean_ev_T_,Mean_ev_HI,Shape__Area,Shape__Length,TC_ID_y,Existing Canopy,Possible Canopy Percentage,Possible Impervious Canopy Percentage
35,25025000601,Brighton,41,250250006.01,MA,41,74.874058044,76.0388193223,91.9688132137,96.5478966979,84.909436571,89.779445206,5326571.8527832,15514.1645195875,41,19.6935440055,37.9955193901,23.2522927314
36,25025000602,Brighton,42,250250006.02,MA,42,75.1262586438,76.2081737569,91.8186710508,96.2902867084,84.9998443957,89.940522539,6456163.81274414,12135.6527507207,42,28.7859797253,36.199283906,22.2193739413
37,25025000701,Brighton,43,250250007.01,MA,43,74.8719070757,76.0616966992,91.0597236754,95.1757111428,84.1909545053,89.1874561159,2448016.71240234,7123.31604781587,43,18.2699354324,26.3891260461,18.6470630047
38,25025000703,Allston,44,250250007.03,MA,44,76.0250277968,77.1471889743,92.3896237741,96.250403855,85.4020472954,90.1516590129,1909898.00341797,7503.25285950829,44,9.13884099058,25.9509131458,22.6607921488
39,25025000704,Allston,45,250250007.04,MA,45,75.7140054183,76.8922046716,91.9975980517,95.9652225657,85.1099103782,90.0203149385,2565711.26171875,7045.13398702528,45,14.1642505224,27.5870347859,22.437811973
40,25025000802,Allston,46,250250008.02,MA,46,76.1451060456,77.2956245121,92.209560666,96.451710418,85.021881625,90.1197061937,10452126.829834,21298.8406571103,46,14.4414094379,36.3482397334,28.5001305956
41,25025000803,Allston,47,250250008.03,MA,47,75.7675152416,76.919738242,91.7943744526,96.0028056018,85.1663038929,90.0866908841,12580971.5402832,24769.8972685947,47,11.2915089614,51.2494279053,37.255080257
42,25025010103,Fenway,48,250250101.03,MA,48,75.8741811581,77.0813357756,91.8855627698,96.7587492892,85.3930982795,90.214684258,2943542.47143555,9842.70959719858,48,14.2008332408,21.4577330592,15.703832955
43,25025010104,Fenway,49,250250101.04,MA,49,75.71242773,76.9404816294,91.5299085101,96.7286152235,86.5638235846,91.7197139609,3087757.12817383,9778.16260162,49,14.1062026196,18.6953693002,13.4406267288
44,25025010203,Fenway,50,250250102.03,MA,50,75.9503640935,77.1959592218,91.9656604485,96.5614117076,85.2561045001,90.3158574039,3938852.28271484,11331.4056478719,50,10.7909355602,29.4631941558,22.915910949
45,25025010204,Fenway,51,250250102.04,MA,51,74.816418488,76.0400448855,92.0251511173,96.4038390051,85.7810853138,90.4254696228,2704951.71557617,7660.05891641551,51,8.38918761851,29.2158681023,25.7209909818
