,ID,Total,Neighborhood,Existing_Canopy,Potential_Canopy,Impossible_Canopy,Existing_Percent,Potential_Percent,Impossible_Percent
0,25017342400,7039,Everett,1595,5320,124,22.659468674527634,75.57891745986646,1.76161386560591
1,25017350103,62338,Somerville,608,29071,32659,0.9753280503063942,46.63447656325195,52.390195386441654
2,25017350104,4887,Somerville,0,0,4887,0.0,0.0,100.0
3,25017351403,29720,Somerville,4479,12599,12642,15.070659488559892,42.392328398384926,42.537012113055184
4,25017351404,1501,Somerville,0,0,1501,0.0,0.0,100.0
5,25017351500,24307,Somerville,1147,7477,15683,4.71880528242893,30.760686222075943,64.52050849549512
6,25017352101,35327,East Cambridge,0,8197,27130,0.0,23.203215670733435,76.79678432926657
7,25017352102,7234,East Cambridge,409,429,6396,5.653856787392867,5.930329001935306,88.41581421067183
8,25017373100,19420,Newton Corner,3495,8164,7761,17.996910401647785,42.03913491246138,39.96395468589083
9,25017373500,45779,Newton Corner,22847,17835,5097,49.90716267284126,38.95891129120339,11.133926035955351
10,25017373600,94062,Chestnut Hill,19302,15779,58981,20.520507750207308,16.77510578129319,62.70438646849949
11,25017373900,810,Oak Hill,0,792,18,0.0,97.77777777777777,2.2222222222222223
12,25021400100,136381,Cottage Farm Historic District,30945,32897,72539,22.690110792559082,24.121395209010053,53.188493998430864
13,25021400200,84394,North Brookline,6128,30941,47325,7.261179704718344,36.66255894968837,56.076261345593295
14,25021400300,38136,North Brookline,5942,23826,8368,15.581078246276483,62.476400251730645,21.942521501992868
15,25021400400,63729,North Brookline,21943,17868,23918,34.43173437524518,28.03747116697265,37.53079445778217
16,25021400600,49999,Brookline,15791,11734,22474,31.582631652633054,23.46846936938739,44.94889897797956
17,25021400800,282,Brookline,280,2,0,99.29078014184397,0.7092198581560284,0.0
18,25021400900,71,Brookline,70,0,1,98.59154929577466,0.0,1.4084507042253522
19,25021401000,4699,Brookline,4693,0,6,99.87231325814004,0.0,0.1276867418599702
20,25021401100,55677,Brookline,28661,19649,7367,51.477270686279795,35.29105375648832,13.231675557231892
21,25021401200,57175,Brookline,29338,14200,13637,51.31263664188894,24.836029733275033,23.85133362483603
22,25021402101,1915,West Roxbury,68,70,1777,3.5509138381201044,3.6553524804177546,92.79373368146214
23,25021402102,207123,Dedham,140425,52510,14188,67.79787855525461,25.35208547578009,6.850035968965301
24,25021402200,48713,Dedham,7928,33338,7447,16.27491634676575,68.43758339662924,15.287500256605014
25,25021402300,2264,Dedham,519,1498,247,22.924028268551236,66.16607773851591,10.909893992932862
26,25021415300,1661,Blue Hills Reservation,448,1138,75,26.971703792895845,68.51294400963275,4.515352197471403
27,25021416102,92143,Blue Hills Reservation,66110,16567,9466,71.74717558577429,17.979662047035585,10.273162367190128
28,25021416200,8614,Milton,4738,1612,2264,55.0034827025772,18.71372184815417,26.28279544926863
29,25021416300,1549,Milton,852,62,635,55.003227888960616,4.002582311168496,40.99418979987088
30,25025000100,19302761,Brighton,2428346,8963715,7910700,12.58030392646938,46.43747596522591,40.98222010830471
31,25025000201,6442040,Brighton,1715952,2058948,2667140,26.636779653650084,31.961117906750037,41.40210243959988
32,25025000202,6477651,Brighton,1627975,2495664,2354012,25.132181403413057,38.527299479394614,36.34051911719233
33,25025000301,6134394,Brighton,1995954,1849254,2289186,32.537101464301124,30.145667200378718,37.31723133532016
34,25025000302,6361291,Brighton,2457238,2008433,1895620,38.6279766166962,31.57272635381717,29.799297029486628
35,25025000401,4645749,Brighton,1194765,1513310,1937674,25.71738163211142,32.574080089130945,41.708538278757636
36,25025000402,8668970,Brighton,2861320,3411889,2395761,33.00645866810013,39.3574899901603,27.63605134173956
37,25025000502,8958830,Brighton,2740984,3414666,2803180,30.59533443541177,38.115088689036405,31.289576875551827
38,25025000503,1510737,Brighton,361349,354613,794775,23.918723113288415,23.47284802053567,52.60842886617591
39,25025000504,3499830,Brighton,951520,895493,1652817,27.18760625516097,25.586757071057736,47.225636673781295
40,25025000601,5326540,Brighton,1048978,2023834,2253728,19.693421996267745,37.99528399298607,42.31129401074619
41,25025000602,6456174,Brighton,1858462,2337075,2260637,28.785810295695253,36.19907084288621,35.01511886141854
42,25025000701,2447994,Brighton,447244,646000,1354750,18.2698160207909,26.388953567696653,55.34123041151244
43,25025000703,1909894,Allston,174526,495589,1239779,9.137994045742854,25.948508137100802,64.91349781715634
44,25025000704,2565736,Allston,363416,707808,1494512,14.16420083749848,27.586938017005647,58.24886114549588
45,25025000802,10452167,Allston,1509432,3799158,5143577,14.441330682910062,36.34804151139185,49.210627805698095
46,25025000803,12580990,Allston,1420580,6447669,4712741,11.29148024122108,51.24929755130558,37.45922220747334
47,25025010103,2943517,Fenway,417994,631597,1893926,14.2004955296674,21.457222771263083,64.34228169906952
48,25025010104,3060209,Fenway,431679,572117,2056413,14.106193400516108,18.69535708182023,67.19844951766366
49,25025010203,3931151,Fenway,424207,1158240,2348704,10.790910855370349,29.463126702586596,59.74596244204305
50,25025010204,2698400,Fenway,226348,788271,1683781,8.388230062259117,29.21253335309813,62.39923658464275
51,25025010300,5449366,Longwood Medical and Academic Area,947367,1642449,2859550,17.384903124510267,30.140185115112473,52.47491176037726
52,25025010403,943999,Fenway,95090,136252,712657,10.073103890999885,14.433489865985027,75.49340624301509
53,25025010404,1490920,Fenway,200410,293724,996786,13.442035789982024,19.70085584739624,66.85710836262174
54,25025010405,3936397,Fenway,719050,939805,2277542,18.266704298372343,23.874751454185134,57.858544247442524
55,25025010408,460400,Fenway,73728,136285,250387,16.013900955690705,29.601433536055605,54.38466550825369
56,25025010500,2115528,Back Bay,253277,575031,1287220,11.972283042342148,27.18144122885634,60.846275728801515
57,25025010600,3635915,Back Bay,280110,420634,2935171,7.703975477974595,11.568862308387297,80.72716221363811
58,25025010701,2193318,Back Bay,465080,331089,1397149,21.20440355662061,15.095348690887505,63.70024775249189
59,25025010702,3242891,Back Bay,631303,580304,2031284,19.46729014327031,17.894650174797736,62.638059681931956
60,25025010801,1366488,Back Bay,250974,209813,905701,18.36635228410348,15.354178009612966,66.27946970628355
61,25025010802,1654967,Back Bay,343374,261803,1049790,20.748087424099694,15.819227815418676,63.43268476048163
62,25025020101,2383728,Beacon Hill,519558,204881,1659289,21.796027063490463,8.59498231341831,69.60899062309123
63,25025020200,1297973,Beacon Hill,220610,127309,950054,16.996501468058273,9.808293392851777,73.19520513908995
64,25025020301,2672820,West End,455183,562502,1655135,17.030065623573602,21.045263055499436,61.92467132092696
65,25025020302,824873,Beacon Hill,119603,154744,550526,14.499565387641491,18.75973634729225,66.74069826506626
66,25025020303,4637918,West End,396162,1240886,3000870,8.54180690559859,26.755238018438448,64.70295507596296
67,25025030100,842280,North End,102012,149975,590293,12.111411882034478,17.805836538918175,70.08275157904735
68,25025030200,683269,North End,30476,120655,532138,4.460322362056526,17.65849175068677,77.88118588725669
69,25025030300,7355351,Downtown,684742,1950912,4719697,9.309440161319289,26.523710425240072,64.16684941344064
70,25025030400,1170044,North End,95317,177527,897200,8.146445774688814,15.172677266837828,76.68087695847335
71,25025030500,1957305,North End,166841,771442,1019022,8.524016440973686,39.41347924825206,52.06250431077425
72,25025040100,2746779,Charlestown,529422,756877,1460480,19.274284534722305,27.55507450726833,53.170640958009365
73,25025040200,1530170,Charlestown,369513,402544,758113,24.148493304665493,26.307142343661162,49.544364351673345
